Segment,Prediction
0,walking
1,walking
2,walking
3,walking
4,walking
5,walking
6,jumping
7,jumping
8,walking
9,jumping
10,jumping
11,walking
12,walking
13,walking
14,walking
15,walking
16,walking
17,walking
18,walking
19,walking
20,walking
21,walking
22,walking
23,walking
24,walking
25,walking
26,walking
27,walking
28,walking
29,walking
30,walking
31,walking
32,walking
33,walking
34,walking
35,walking
36,walking
37,walking
38,walking
39,walking
40,walking
41,walking
42,walking
43,walking
44,walking
45,walking
46,walking
47,walking
48,jumping
49,jumping
50,walking
51,walking
52,walking
53,walking
54,walking
55,walking
56,walking
57,walking
58,walking
59,walking
60,walking
Final Classification,Walking
