"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.901583333E-2	6.796230447E-1	-1.270426299E0	-3.479811936E0	3.766292816E0
2.900783331E-2	1.661919022E-1	-1.085293511E0	-3.621182992E0	3.783972518E0
3.899883333E-2	1.564311451E-1	-1.027597280E0	-3.757242438E0	3.898371149E0
4.899083331E-2	4.648016042E-1	-1.068063521E0	-3.809225940E0	3.983340617E0
5.898283332E-2	8.793341106E-1	-9.379004073E-1	-3.782650344E0	3.995163236E0
6.897383332E-2	1.223900589E0	-5.593785632E-1	-3.638364451E0	3.879243857E0
7.896583332E-2	1.491413044E0	-1.155000508E-1	-3.426343242E0	3.738646967E0
8.895783333E-2	1.402403803E0	2.464893758E-1	-3.189249757E0	3.492679122E0
9.894883333E-2	1.119025221E0	4.627235037E-1	-2.925861928E0	3.166543622E0
1.089408333E-1	8.814203972E-1	5.943186003E-1	-2.665937989E0	2.870076981E0
1.189328333E-1	4.248972809E-1	7.829041690E-1	-2.343564034E0	2.507143597E0
1.289238333E-1	-3.423018515E-1	9.085821757E-1	-1.939427292E0	2.168886891E0
1.389158333E-1	-9.126465753E-1	9.049577790E-1	-1.629167013E0	2.075104216E0
1.489078333E-1	-1.038773648E0	7.704253337E-1	-1.420742426E0	1.921227453E0
1.588988333E-1	-9.664049989E-1	5.603971481E-1	-1.259439381E0	1.683499670E0
1.688908333E-1	-9.693850324E-1	3.269070098E-1	-9.174035776E-1	1.374119667E0
1.788828333E-1	-8.076577717E-1	2.543951038E-1	-6.127618879E-1	1.045229676E0
1.888738333E-1	-7.459892347E-1	5.001904151E-1	-3.027296501E-1	9.478056925E-1
1.988658333E-1	-9.008521566E-1	5.658140087E-1	2.681006849E-1	1.097067946E0
2.088578333E-1	-1.258460849E0	6.235423994E-1	1.119541238E0	1.796079457E0
2.188488333E-1	-1.753971738E0	7.615527686E-1	2.428127636E0	3.090660656E0
2.288408333E-1	-1.973672972E0	1.057470120E0	3.569163238E0	4.213378013E0
2.388328333E-1	-1.787070487E0	1.552774894E0	4.121681848E0	4.753208606E0
2.488238333E-1	-1.325483097E0	2.064665880E0	4.520349104E0	5.143277813E0
2.588158333E-1	-7.776507381E-1	2.417975115E0	5.459763941E0	6.021658128E0
2.688078333E-1	-2.492789362E-1	2.421058352E0	6.671565471E0	7.101651171E0
2.787988333E-1	9.580224305E-2	1.912578924E0	7.452771608E0	7.694864577E0
2.887908333E-1	1.944973961E-1	9.050276533E-1	7.375773718E0	7.433635869E0
2.987818333E-1	-7.685068622E-2	-2.111844724E-1	6.709826726E0	6.713589175E0
3.087738333E-1	-1.935729513E-1	-1.059415196E0	5.868011275E0	5.966019391E0
3.187658333E-1	1.617696530E-1	-1.994032977E0	4.835405270E0	5.232922803E0
3.287568333E-1	6.111882560E-1	-3.269328837E0	3.950043265E0	5.163807115E0
