Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.008266500023,-0.5444115914,-0.5510220149,-0.783305288,0.75104221175
0.01828650001,0.033956974,-0.4749874538,-0.3333503491,0.75104221175
0.0283065,-0.4099105749,-0.5966542706,-0.2571897805,0.75104221175
0.03832649998,-0.685892137,-0.2031743717,-0.150217309,0.75104221175
0.04834649997,-0.701563552,-0.1979384825,-0.2419349796,0.75104221175
0.05836650002,-0.4611603968,-0.4965958393,-0.3143264329,0.75104221175
0.0683855,-0.059858239,-0.4673468971,-0.2775702506,0.75104221175
0.07840549998,-0.05486347429,-0.1571424589,-0.1296877348,0.75104221175
0.08842550003,-0.6149520356,-0.3202838686,0.2239927983,0.75104221175
0.09844550001,-1.125425803,-0.610885224,0.347118203,0.75104221175
0.1084655,-1.325452984,-0.5753093022,0.1964886653,0.7867020633500001
0.1184855,-1.283595106,-0.2713792187,-0.1769379151,0.8609585469300001
0.1285045,-1.326409734,0.3304249871,-1.188384016,0.96526583985
0.1385245,-1.351489027,1.062369795,-2.297477449,1.17911220038
0.1485445,-0.6661072057,0.339115119,-2.228623561,1.33737000701
0.1585645,0.5879609227,-0.8684232062,-1.944107988,1.48355935459
0.1685845,0.9455922733,-1.715945248,-1.705758521,1.6886481374400002
0.1786045,0.4220906905,-1.602688774,-1.463415406,1.88864402376
0.1886245,-0.3287094871,-0.6537818599,-1.222732315,1.9582772720999997
0.1986435,-0.6916522291,0.5550753048,-0.7330443764,1.9406611519
0.2086635,-1.071912377,1.102508591,-0.02970502496,1.9486375465999999
0.2186835,-1.286374872,0.8391891745,0.3055854303,1.9728536817999998
0.2287035,-1.090071271,0.3887015542,0.2553648645,1.9102378372
0.2387235,-0.520093387,0.01039225638,0.1703656447,1.6780345529199998
0.2487435,-0.03447189443,-0.06237283409,0.08487175047,1.45405393609
0.2587625,-0.2136283162,-0.6703095996,-0.2380202687,1.3074301671900002
0.2687825,0.5780187558,-1.036192102,-0.5913248259,1.18022611709
0.2788025,1.535801304,-0.5779180375,-0.4514734608,1.12932099979
0.2888225,1.455072891,0.4887257794,-0.1857578552,1.14143897999
0.2988425,1.247592191,0.3658950743,-0.2130719537,1.15812893649
0.3088625,2.348466047,-0.4084435084,-0.5621840572,1.24924185819
0.3188815,2.181587681,-0.4382537833,-0.551875416,1.3218998071899999
0.3289015,0.9535748921,-0.8586539707,-0.08812280238,1.3320076867900001
0.3389215,1.510002073,-0.4428184122,-1.493204631,1.4941990710700002
0.3489415,1.714946543,0.02590813547,-1.472065192,1.7091407869000002
0.3589615,1.117172677,0.3507098553,-2.310356526,1.893884516
0.3689815,1.428543196,0.02855341583,-2.324040765,2.0341285317
0.3790005,2.814430954,-0.9542559466,-1.528753363,2.1981336115000003
0.3890205,3.539796767,-2.384020626,-2.485481805,2.5373939366
0.3990405,3.889900559,-3.627392443,-2.537790411,2.9949644466
0.4090605,3.126314128,-3.362252204,-2.447923969,3.2703499768999995
0.4190805,1.716907699,-1.326164882,-3.488356472,3.4518845548000003
0.4291005,-1.951026413,1.361245837,0.1526947743,3.5616491821000005
0.4391230833,-4.668940887,2.750287583,5.013468189,4.0829466629999995
0.4491420834,-2.870480902,-1.064672428,-1.119048318,4.182889707799999
0.4591620833,1.091373811,-2.092787187,-2.811128447,4.2909357342
0.4691820833,2.32469156,-0.1828555897,-2.952331688,4.3943388623
0.4792020833,1.17825218,-0.2352902037,-3.687200981,4.4479452854
0.4892220834,0.621884129,-0.7762304494,-3.870148664,4.3536607821
0.4992420833,0.4659922434,-0.8595807543,-3.399528496,4.1180765046
0.5092610833,0.6760764161,-0.6686051363,-3.648658474,3.9748313584000003
0.5192810833,1.883050485,-0.7323397869,-3.247621341,3.9465199870000007
0.5293010834,1.704044848,-1.1663099,-2.028302046,3.9975822678
0.5393210833,0.6429762784,-0.1733486018,-0.2177058721,3.32941666435
0.5493410833,0.6400599065,0.9440360369,0.1364693356,3.1183192236500004
0.5593610833,0.9724817178,1.215832747,-0.8652516764,2.9293781007499997
0.5693800834,0.8561133555,-0.4898587505,-3.165658581,2.8847378734499998
0.5794000833,0.7478259183,-0.9739952695,-3.347350282,2.85348344155
0.5894200833,0.976426688,0.9049064697,-0.5500084001,2.59793285645
0.5994400833,2.162082539,5.218195581,6.925769663,3.1379008833500004
0.6094600834,8.130258665,5.041350637,7.269989986,3.96238572185
0.6194800833,6.452244598,0.879594531,-2.437258063,4.2752121363499995
0.6294990833,6.357510349,0.3603967547,-5.050254192,4.79849270205
0.6395190833,5.852084044,1.663483737,-2.947859738,5.4044779221
0.6495390834,3.66418137,0.491433296,-4.04769469,5.8378012997
0.6595590833,1.651310272,-1.389875998,-5.787776366,6.2773955164
0.6695790833,0.1595184749,-2.43738334,-6.113169824,6.604128609599999
0.6795990833,-1.01730121,-2.898204305,-6.999251037,7.0119363467
0.6896180834,-1.840585666,-2.587021043,-7.836403919,7.713411168799999
0.6996380833,-2.779768075,-2.438861662,-8.078195642,7.708147559099999
0.7096580833,-4.145273609,-2.942696354,-8.130869699,7.4655361497
0.7196780833,-3.868687445,-3.423753802,-7.553215663,7.685322848199999
0.7296980833,-3.286975442,-3.725148241,-6.801698763,7.7148764193999995
0.7397180834,-3.867497537,-3.933358527,-6.190986325,7.868028868399999
0.7497370833,-4.455014071,-3.867151966,-5.132619241,8.1017935666
0.7597570833,-5.093125978,-3.573356861,-4.160344515,8.232527469099999
0.7697770833,-4.127815577,-2.11932536,-3.570391738,8.1596930598
0.7797970833,-3.601585464,-1.237842836,-3.654469437,7.923151636
0.7898170833,-3.592878376,-1.521289684,-3.290203105,7.588013697000001
0.7998370833,-3.611408787,-1.964225918,-1.529526365,7.138207800299999
0.8098560834,-4.024736767,-1.439057952,-0.1757146776,6.6070705171
0.8198760833,-4.609648951,-0.6435167804,0.4552888421,6.1596319966
0.8298960833,-4.793409982,0.06008467242,0.9673692048,5.806390973099999
0.8399160833,-4.38439257,0.6763500658,1.728750358,5.4533105609
0.8499360833,-3.889959615,1.419099066,2.694503684,5.1653768626000005
0.8599560834,-3.669575134,1.9854326,3.63373024,4.9702085401
0.8699750833,-2.536856026,2.628649418,3.878783832,4.9175599597
0.8799950833,-0.03826827228,3.676639155,3.265505928,4.8815041838
0.8900150833,0.9862329072,3.852414059,2.448113126,4.8381062765000005
0.9000350834,0.8115666354,2.674266179,1.634365772,4.7232243999
0.9100550833,0.03885767162,0.6564432201,0.8325113618,4.401525973700001
0.9200750833,-0.4939166451,-1.825743386,0.505497348,4.1296453155999995
0.9300940833,0.7703256387,-4.355096265,0.2629750156,4.083654494
0.9401140834,5.388483458,-7.58134311,0.2897637418,4.5381078433
0.9501340833,14.7923879,-11.31157317,1.849389819,5.9154112972999995
0.9601540833,27.56835646,-12.73506495,3.251339586,8.4162567501
0.9701740833,39.41624911,-10.18413877,2.845213037,11.9644260507
0.9801940834,48.32291511,-5.924506488,1.90193436,16.344854935500003
0.9902130833,52.53440259,-2.249363635,1.30256552,21.1377418993
1.000233083,49.97279822,-2.32290699,1.045054289,25.817757761099994
1.010253083,43.42730807,-6.117034834,2.806514994,30.106239386899993
1.020273083,37.01439536,-10.01473558,4.808269511,33.775020190199996
1.030293083,32.98400784,-11.05342795,4.455317541,36.8390661099
1.040313083,30.51807094,-9.920830464,3.162569497,39.133051729
1.050332083,28.77778987,-8.190297875,1.64132045,40.258282402
1.060352083,26.92513234,-6.183823485,0.4598624611,39.967152926999994
1.070372083,23.15568968,-4.094247297,-0.1443103787,38.237687871999995
1.080392083,17.83290729,-2.888173699,-0.6440368903,35.173175279
1.090412083,12.32385951,-2.364722183,-0.8539495202,31.171079044
1.100432083,6.764101167,-1.615347411,-1.142584676,26.872066515500002
1.110451083,2.445026674,-1.088877854,-1.192898651,22.7705278954
1.120471083,-0.8013597357,-0.9448214641,-1.154655449,19.0753256835
1.130491083,-3.464610345,-0.7372700129,-0.8685804963,15.932941284700002
1.140511083,-5.32274789,-0.9750699147,-0.2945874023,13.250316832900001
1.150531083,-6.472695819,-1.228835639,-0.05714483857,10.9126144157
1.160551083,-7.437549552,-1.183041561,0.4404157913,8.9040116351
1.170570083,-8.218370942,-1.423702286,1.180351842,7.394869111699999
1.180590083,-8.864138024,-2.303271894,2.017358251,6.5249986053
1.190610083,-10.0577898,-3.370629802,2.59273962,6.3592106482999995
1.200630083,-10.71501801,-3.711590302,2.282400988,6.8111619588
1.210650083,-11.13892009,-4.110218382,1.76990043,7.718554092900002
1.220669083,-11.63703737,-4.751076726,1.418887689,8.8141368028
1.230689083,-12.18702648,-5.262251428,1.816219003,9.789250948600001
1.240709083,-12.87628924,-5.841046255,2.505543602,10.6832645384
1.250729083,-13.58007532,-6.411228719,2.846812542,11.5528937646
1.260749083,-14.60020395,-6.78129315,2.236872228,12.4237880752
1.270769083,-16.2652793,-8.070991287,0.1777389836,13.397251797600001
1.280788083,-18.20743549,-9.836299607,-1.504623073,14.534362630999999
1.290808083,-19.85924935,-11.33445566,-2.867359951,15.746900514999998
1.300828083,-21.26719807,-12.71596795,-3.255419773,17.089369044
1.310848083,-21.80956241,-12.95600667,-2.133478253,18.434659904
1.320868083,-20.72827424,-11.71193904,-0.2592547247,19.550684869999998
1.330888083,-19.02122991,-9.852644913,2.187378179,20.364149666
1.340907083,-17.41660425,-8.231030749,4.448604645,20.905266226000002
1.350927083,-16.24030468,-7.163668309,6.267810552,21.259202769999998
1.360947083,-15.58168834,-6.953939209,6.807160648,21.470989666
1.370967083,-15.33743961,-6.798811408,6.328199426,21.448199416
1.380987083,-15.092743,-6.200389232,5.480866542,21.094549885
1.391006083,-14.81604223,-5.749136211,4.362095967,20.438045136
1.401026083,-14.82756358,-5.522649575,3.321339236,19.555619218
1.411046083,-14.61934306,-5.124088154,2.760232528,18.583435689999998
1.421066083,-13.82449712,-4.504410179,2.803504847,17.683237084
1.431086083,-12.9020743,-3.997617965,3.289098858,16.920134944
1.44110325,-12.21631986,-3.634474006,3.811715099,16.273398522
1.45112225,-11.22576177,-3.096790659,4.091214931,15.625261702
1.46114225,-9.921824491,-2.507737477,3.779220952,14.879123443000001
1.47116225,-8.701681323,-1.908878806,3.349452356,14.037807096999998
1.48118225,-7.484212672,-1.432958721,3.210896734,13.1434430934
1.49120225,-6.768559084,-1.231930862,3.359589089,12.2610506261
1.50122125,-6.107627249,-1.027752816,3.563320701,11.358841353399999
1.51124125,-6.121688048,-0.7443599081,3.489363948,10.4938626002
1.52126125,-5.695959293,-0.925570676,2.895823319,9.6587493049
1.53128125,-3.980400839,-1.203483866,1.553200572,8.7124563012
1.54130125,-0.8869904548,-1.55973045,0.9703840292,7.5861182321000005
1.55132125,3.748603177,-2.329416695,1.422821696,6.8155427816
1.56134025,8.983310711,-2.753441864,0.4157813255,6.6651089117
1.57136025,16.49515674,-1.252345539,-2.166462396,7.3817524517
1.58138025,29.62960055,1.658540062,-2.907901036,9.5366619123
1.59140025,42.2097868,3.929128944,0.5155875957,13.010578790599999
1.60142025,47.69033993,4.141489291,6.66568785,17.129208070300002
1.61144025,48.16951223,2.139063513,12.3848144,21.3988683005
1.62145925,44.99377247,0.632875725,15.85221796,25.5241015068
1.63147925,38.38357937,0.3226119375,16.30346279,29.250584215499998
1.64149925,30.40680544,-0.4703215219,14.83991758,32.430406806600004
1.65151925,21.79527415,-1.671270912,12.4956051,34.4845681931
1.66153925,13.31293709,-2.812772684,9.048856829,35.178165838999995
1.67155825,6.275537648,-3.566137012,5.044595257,34.3903884418
1.68157825,1.150193512,-3.706392127,1.309219359,31.818142054099997
1.69159825,-2.664358072,-3.485573198,-2.191087214,28.068998653100003
1.70161825,-4.819594399,-3.125642283,-4.320074367,23.954587143799998
1.71163825,-5.712156081,-2.633323975,-4.735003315,19.7636687133
1.72165725,-5.97969134,-2.18419744,-4.983486591,15.801256429599999
1.73167725,-6.036231576,-1.83625171,-5.624273014,12.4761013662
1.74169725,-5.890126614,-1.837323797,-6.253494229,9.9707857534
1.75171725,-5.9285551,-2.13736899,-6.361290573,8.3483598356
1.76173725,-6.26438233,-2.230974288,-6.126518433,7.618440292200001
1.77175725,-6.516807214,-2.447521242,-5.798791351,7.643837247799999
1.78177625,-6.594888008,-2.665956116,-4.945056351,8.100606274499999
1.79179625,-6.767652766,-2.552339161,-3.395292188,8.409231325499999
1.80181625,-6.906138806,-2.373003449,-1.972075367,8.4468800991
1.81183625,-6.76019932,-2.464082457,-0.8704486817,8.3843584714
1.82185625,-6.183110125,-2.754361339,0.04251393557,8.252785836600001
1.83187525,-5.713243663,-3.257662472,0.7199230783,8.069164503
1.84189525,-5.154384917,-3.619125357,0.8891591871,7.826721513000001
1.85191525,-4.413893527,-3.464773482,0.4007582206,7.4938398155999995
1.86193525,-3.670295511,-2.710964473,-0.3300466722,7.047146677399999
1.87195525,-3.191691554,-1.844841854,-0.8854672551,6.5202740126
1.88197525,-3.254306463,-1.216082131,-1.028334614,6.0162498474
1.89199425,-3.489705425,-0.9372779712,-1.052404093,5.5935802179
1.90201425,-3.822544143,-0.9144687138,-1.131632549,5.2461815757
1.91203425,-4.093345072,-1.055826102,-0.8707685244,4.9530152031
1.92205425,-4.759392636,-1.134048107,-0.2212622948,4.765880273900001
1.93207425,-5.349352137,-0.8950038446,0.6637979941,4.6506952984000005
1.94209325,-5.941902539,-0.5523958182,1.20577539,4.6234544815000005
1.95211325,-6.58085703,-0.1650155886,1.281789339,4.7315470311
1.96213325,-6.748961556,0.2450709144,1.284253356,4.961504644200001
1.97215325,-6.518477179,1.061160517,1.153700233,5.252798874800001
1.98217325,-6.45393035,2.23250772,0.6629570183,5.5766145815
1.99219225,-6.775872197,3.244230249,-0.07223679453,5.951546023600001
2.00221225,-7.410358245,3.59497928,-0.334425652,6.3668514211
2.01223225,-8.342987972,3.213659836,-0.08167624712,6.8293343883999995
2.02225225,-8.965717608,2.62317467,0.5362466857,7.275266755500001
2.03227225,-9.244155586,2.292591954,1.214217307,7.6889777873
2.04229225,-8.681110234,2.288009638,1.718361902,7.994219267400001
2.05231125,-7.655544276,2.908371152,2.109404974,8.1692324582
2.06233125,-6.832884888,3.850779762,2.066944833,8.292893705500001
2.07235125,-6.103533613,4.790598933,1.474761343,8.4122604579
2.08237125,-5.944461865,5.323127959,1.322798348,8.5349743374
2.09239125,-6.132781971,5.065963322,1.902845649,8.6015894747
2.10241025,-6.678562834,4.453454911,1.701361122,8.5978321271
2.11243025,-6.62850599,3.834879721,0.9180973497,8.4750155274
2.12245025,-4.768997857,4.136706854,-0.02322660238,8.1706373968
