Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.007689958322,1.994267158,7.086600253,-3.608270001,7.05320324288
0.01770695834,4.678924423,6.927223281,-1.740396842,7.05320324288
0.02772295836,5.279694257,7.075797522,0.4327500916,7.05320324288
0.03773995832,5.118168433,6.675334001,1.067759466,7.05320324288
0.04775695835,2.51276082,3.978499909,0.7485839367,7.05320324288
0.05777295836,-0.4609178835,-0.1397472847,-0.5654678535,7.05320324288
0.06778995832,-3.085351751,-4.285305068,-3.140857615,7.05320324288
0.07780595834,-4.404505237,-6.23508661,-4.843237031,7.05320324288
0.08782295836,-4.101887269,-6.120199347,-4.208308933,7.05320324288
0.09783995833,-2.904713134,-6.153481699,-2.642515798,7.05320324288
0.1078559583,-0.1625064021,-4.604777051,-0.3610819387,6.69552285868
0.1178729584,2.005733255,-0.9345476139,2.537353624,6.17833020008
0.1278899583,3.010149541,0.3795246416,5.527860614,5.924995497479999
0.1379059583,2.824584937,1.134095542,5.458948839,5.70209793798
0.1479229583,1.584393713,1.298328043,1.246981888,5.46543413848
0.1579399583,0.8671523139,-0.7119382668,-1.080143284,5.546896480100001
0.1679559583,1.059559915,-1.528807157,-0.6561359489,5.1297424709
0.1779729583,0.3436999208,0.9169182587,0.4016709709,4.3315197757
0.1879889583,0.0577014935,4.445787165,0.7195074874,3.9334380107
0.1980059583,-0.1577271804,6.600504259,0.1562335092,3.8638919266
0.2080229583,0.1122622282,7.780531434,-0.6704242051,4.1827318087
0.2180389583,0.4438052029,7.654960139,-1.814592161,4.6340243571999995
0.2280559583,0.3273114909,6.95178451,-2.699046679,4.749904523
0.2380729583,-0.2354740986,6.866926208,-2.546137896,4.8576425995
0.2480889583,-0.2672919601,6.431794546,-2.940717949,5.3255552285
0.2581059583,0.2498373819,4.405854775,-8.229468373,6.1036138198
0.2681229583,0.7810060166,2.207720935,-18.03005903,7.7245222599000005
0.2781389583,1.419699283,3.327132949,-9.388229225,8.6247847858
0.2881559583,0.641426547,-14.71549584,-4.306084903,9.70898414
0.2981719584,-10.58970399,-41.27724946,1.325670208,13.3120221495
0.3081889583,-18.01439317,-45.53437328,10.77090335,17.544895818999997
0.3182059583,-12.45593408,-38.78217705,12.04561274,21.0046460188
0.3282219583,-3.557944186,-19.4476615,3.164916569,22.2604092218
0.3382389583,-0.04433446616,-6.343799797,0.53204283,22.164277124399998
0.3482559583,1.316598106,-0.2024674433,0.7084471866,21.6074284922
0.3582719583,3.842251014,1.999986904,1.300345917,21.1258872427
0.3682889583,4.849397365,2.824307486,3.252199419,19.9563522054
0.3783059584,3.056274425,2.653191644,-1.073318121,19.368965096
0.3883219583,0.7799465011,0.8445677358,0.7315738016,17.9706302993
0.3983389583,2.22956087,0.3829212892,4.007438656,14.1673548253
0.4083549583,1.944568748,1.161789125,4.849006771,9.6886648495
0.4183719583,0.3172194891,1.491759199,5.152415575,5.9782938535
0.4283889583,0.003014166579,1.915682918,4.507782561,4.4658724812
0.4384049583,-0.5201659656,2.081649118,4.367218713,4.3158342713
0.4484219583,-1.099579575,2.216522748,3.405678305,4.5859189893
0.4584389583,-1.022575326,3.074706311,2.194199833,4.5249918385
0.4684549583,-1.341238127,3.807606261,1.591731969,4.310316671600001
0.4784719583,-2.297921838,4.390989398,1.309236608,4.404196067
0.4884889583,-2.558717304,5.212009227,1.661996497,4.8718708214
0.4985049583,-2.954377044,5.898588704,3.092319294,5.1402731836
0.5085219583,-2.879614253,5.948597016,4.789172505,5.4212475523000005
0.5185389583,-2.750476741,5.609176673,5.163199595,5.6943809773
0.5285549583,-2.435400841,4.97568699,4.696112899,5.9308232388
0.5385719583,-2.029669125,4.059608392,4.191739385,6.0620629219
0.5485879583,-0.3724528728,3.613841228,3.63827265,6.15525898
0.5586049584,1.266319653,3.548245409,2.874964254,6.2378376139
0.5686219583,2.191275495,2.644801474,2.063039477,6.2045569682999995
0.5786379583,2.79907792,1.82438157,1.096162316,6.0435981138
0.5886549584,3.465752306,0.9420074916,-0.5755314964,5.803389898400001
0.5986719583,4.276163532,-0.3526444066,-2.891155195,5.5921862001
0.6086879583,4.516414513,-2.135016655,-4.78763001,5.4679483474
0.6187049584,3.920201122,-3.418198655,-4.835252658,5.367628543
0.6287219583,3.266065506,-2.818936234,-3.754582832,5.2133216221
0.6387379583,2.368909667,-1.312528006,-2.67169165,4.9759236329
0.6487549584,1.128629492,-0.5909365708,-1.812411734,4.683304647
0.6587709583,0.8524016161,0.3073232228,-1.230409124,4.3622002447999995
0.6687879583,0.5275570654,0.813881548,-1.09111266,4.1075287429
0.6788049584,0.354241135,0.512172237,-1.925084072,3.9582232129999992
0.6888209583,0.1835485944,-0.3077155709,-2.670779484,3.8639624350999995
0.6988379583,-0.2317896584,-1.157559249,-3.008065886,3.6697204105000005
0.7088549584,-0.4935695397,-1.300786212,-3.082692438,3.3159940026999997
0.7188709583,-0.4939766521,-0.7464935571,-2.934233971,2.9126144546000003
0.7288879583,-0.4236820833,0.1468528211,-2.15967144,2.5612568952
0.7389049584,-0.2741814237,1.702212185,-1.366680239,2.4008425726000002
0.7489209583,-0.2329766797,2.657786386,-0.9571839398,2.4627545088
0.7589379583,-0.7537614269,2.228955098,-0.1584440491,2.5457776782
0.7689549584,-1.63732037,0.9160546249,2.217347791,2.6902481357
0.7789709583,-3.161182829,-0.9282449001,3.478995372,2.9670641839
0.7889879583,-4.361776417,-3.347188899,2.499520092,3.3015502394
0.7990039584,-4.079323449,-5.722667035,-0.1498588747,3.6813459023
0.8090209583,-2.081647949,-6.195943009,-0.7860447085,4.0014727535
0.8190379583,-1.429661184,-5.499505711,-1.76655553,4.2897557158
0.8290539584,-2.745336161,-3.880332175,-0.6324482936,4.5487014489
0.8390709583,-3.740629914,0.9875561321,2.563421681,4.7927878646
0.8490879583,-4.744437797,5.334630017,4.326872047,5.3441434242999994
0.8591039584,-5.846716885,6.363646417,2.690971089,6.0134195835
0.8691209583,-6.893366733,4.844775433,1.275436486,6.575117863299999
0.8791379583,-6.601829823,2.744352075,4.068181287,6.918563278399999
0.8891539584,-4.433583441,0.8487414783,6.805580145,7.1312640818999995
0.8991709583,-2.785924024,-0.8718830037,7.056364886,7.191960546200001
0.9091880833,-1.849167624,-1.70176955,6.044222381,7.1882073181
0.9192040833,-1.427826035,-1.746290835,4.718368863,7.116134885299999
0.9292210834,-1.381054157,-1.131678888,4.004583753,7.0750757571000005
