"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.808316668E-2,2.326611786E0,4.894821167E-1,8.984616394E0,9.293871470E0
2.803816670E-2,2.160307617E0,4.364923096E-1,9.192384338E0,9.452903488E0
3.799416672E-2,1.965861969E0,3.782633972E-1,9.308991852E0,9.521818407E0
4.795016674E-2,1.725611572E0,3.748205566E-1,9.345515900E0,9.510882881E0
5.790616665E-2,1.417851562E0,4.953199768E-1,9.365574188E0,9.485231932E0
6.786116667E-2,1.086740112E0,6.722520447E-1,9.373358002E0,9.460061686E0
7.781716669E-2,7.427554321E-1,8.304730225E-1,9.726324005E0,9.789931038E0
8.777316671E-2,6.673123169E-1,8.285270691E-1,1.045695465E1,1.051093066E1
9.772916674E-2,4.697232056E-1,8.725355530E-1,1.102442459E1,1.106887057E1
1.076841668E-1,2.076182556E-1,8.183482361E-1,1.113699051E1,1.116894609E1
1.176401667E-1,2.305206299E-1,5.990542603E-1,1.100930603E1,1.102800186E1
1.275961667E-1,4.352947998E-1,4.090992737E-1,1.086665268E1,1.088305951E1
1.375521667E-1,6.659651184E-1,3.610491943E-1,1.064361649E1,1.067054066E1
1.475071667E-1,8.978329468E-1,4.450245667E-1,1.035007690E1,1.039847310E1
1.574631667E-1,1.076112213E0,5.243595886E-1,1.004980133E1,1.012084370E1
1.674191667E-1,1.144519958E0,5.032534790E-1,9.777517548E0,9.857131398E0
1.773751667E-1,1.093925171E0,5.195695496E-1,9.526489563E0,9.603157199E0
1.873301667E-1,1.094972992E0,5.554948425E-1,9.325008545E0,9.405494391E0
1.972861667E-1,1.159488831E0,5.504054260E-1,9.188791809E0,9.277998458E0
2.072421667E-1,1.225351868E0,5.159770203E-1,9.178014221E0,9.273816072E0
2.171981668E-1,1.226549377E0,4.927752686E-1,9.236243134E0,9.330350372E0
2.271531667E-1,1.110390930E0,4.173321533E-1,9.347162476E0,9.422132481E0
2.371091667E-1,1.003363495E0,3.661386108E-1,9.465715942E0,9.525784697E0
2.470649583E-1,8.788224792E-1,3.483256531E-1,9.643845520E0,9.690067911E0
2.570209584E-1,7.574249268E-1,2.826123047E-1,9.766590271E0,9.799992232E0
2.669769584E-1,6.584806824E-1,2.406994629E-1,9.848170624E0,9.873094635E0
2.769319584E-1,5.839356995E-1,2.115101624E-1,9.848170624E0,9.867734395E0
2.868879584E-1,6.051914978E-1,1.884580994E-1,9.782606964E0,9.803120535E0
2.968439583E-1,6.649172974E-1,1.645079041E-1,9.782008209E0,9.805960558E0
3.067999583E-1,6.887178040E-1,9.355545044E-2,9.796827393E0,9.821451613E0
3.167549584E-1,6.731501770E-1,1.526824951E-2,9.834399261E0,9.857422235E0
3.267109584E-1,5.155279541E-1,3.936813354E-2,9.856852570E0,9.870403310E0
3.366669584E-1,3.594026184E-1,1.143621826E-1,9.800719299E0,9.807973681E0
3.466229584E-1,2.188449097E-1,8.173004150E-2,9.890382843E0,9.893141345E0
3.565779583E-1,5.763015747E-2,-2.140548706E-1,1.014215927E1,1.014458158E1
3.665339584E-1,-5.284011841E-2,-4.586462402E-1,1.019709503E1,1.020754111E1
3.764899584E-1,-5.718109131E-2,-5.493576050E-1,1.011237122E1,1.012744366E1
3.864459584E-1,3.891906738E-3,-5.945635986E-1,1.011192215E1,1.012938747E1
3.964009584E-1,3.787124634E-2,-6.500981140E-1,1.010488678E1,1.012584804E1
4.063569583E-1,-2.903961182E-2,-7.283853149E-1,1.007030869E1,1.009665813E1
4.163129583E-1,-8.307723999E-2,-7.734416199E-1,1.003213806E1,1.006225163E1
4.262689584E-1,-9.714797974E-2,-8.039781189E-1,1.000384689E1,1.003657169E1
4.362239584E-1,-9.849517822E-2,-7.737409973E-1,9.913584595E0,9.944221234E0
4.461799584E-1,-1.447489929E-1,-7.177574158E-1,9.727371826E0,9.754890600E0
4.561359583E-1,-1.338217163E-1,-6.457571411E-1,9.560468903E0,9.583187162E0
4.660919583E-1,-7.933502197E-2,-5.929170227E-1,9.472302246E0,9.491172450E0
4.760469584E-1,-3.667373657E-2,-5.586383057E-1,9.493857422E0,9.510349650E0
4.860029584E-1,-4.805007935E-2,-5.429209900E-1,9.585616608E0,9.601099820E0
4.959589584E-1,-8.442443848E-2,-5.430706787E-1,9.704020386E0,9.719571230E0
5.059149584E-1,-1.191522217E-1,-5.090913391E-1,9.757159882E0,9.771158590E0
