"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.976541666E-3,-2.819527388E-3,-8.566176778E-1,5.081683561E-1,9.960104788E-1
1.493054167E-2,3.707052863E-1,-7.264162651E-1,8.199471572E-1,1.156467181E0
2.488454166E-2,6.039010173E-1,-7.073470330E-1,7.010139138E-1,1.164670241E0
3.483854167E-2,7.072189790E-1,-7.874445319E-1,6.744239929E-1,1.255020039E0
4.479254167E-2,8.085354388E-1,-8.981217992E-1,7.248249453E-1,1.409157026E0
5.474654167E-2,8.134973860E-1,-9.915831095E-1,9.238226509E-1,1.580652824E0
6.470154167E-2,8.675934863E-1,-1.048910381E0,1.090624125E0,1.744245518E0
7.465554167E-2,1.134151676E0,-1.056341900E0,1.191435970E0,1.954911227E0
8.460954167E-2,9.043099076E-1,-1.281520806E0,1.034938167E0,1.879140494E0
9.456354166E-2,1.160152490E0,-9.296356604E-1,1.014983082E0,1.800101918E0
1.045175417E-1,1.245898399E0,-1.185114253E0,1.055468911E0,2.017615730E0
1.144715417E-1,1.291097376E0,-1.243420056E0,7.199150383E-1,1.931658234E0
1.244265417E-1,1.409884146E0,-1.217423628E0,9.541220453E-1,2.092902882E0
1.343805417E-1,1.412042354E0,-1.036799336E0,1.162950382E0,2.102681636E0
1.443345417E-1,1.619547173E0,-7.346938759E-1,7.939495593E-1,1.947579020E0
1.542885417E-1,1.604773014E0,-4.051079643E-1,-9.398405135E-2,1.657782220E0
1.642425417E-1,1.404516987E0,-5.582658380E-2,-5.973804948E-1,1.527300897E0
1.741965417E-1,1.333689664E0,2.359836835E-1,-2.310731918E-1,1.373976433E0
1.841515417E-1,1.173028643E0,4.282170376E-1,5.478677344E-1,1.363644046E0
1.941055417E-1,1.001592373E0,5.849911219E-1,8.819524938E-1,1.457134893E0
2.040595417E-1,7.892548299E-1,6.064299381E-1,4.063341254E-1,1.075075754E0
2.140135417E-1,3.681623322E-1,6.684314740E-1,-4.574332353E-1,8.897130453E-1
2.239675417E-1,-3.957664526E-1,7.698528913E-1,-1.010294784E0,1.330413511E0
2.339215417E-1,-1.327575815E0,7.207921207E-1,-1.099840799E0,1.868595357E0
2.438755417E-1,-2.250305037E0,8.538665628E-1,-1.377039751E0,2.772940559E0
2.538305417E-1,-2.727976947E0,1.182619539E0,-1.293995841E0,3.242664404E0
2.637845417E-1,-2.194463543E0,1.770510295E0,-3.901730061E-1,2.846508725E0
2.737385417E-1,-8.264676797E-1,2.353856595E0,9.670376676E-1,2.675603025E0
2.836925417E-1,-2.528920770E-3,2.598554969E0,1.934373251E0,3.239489805E0
2.936465417E-1,-1.280680561E-1,2.256027415E0,1.999998014E0,3.017623763E0
3.036005417E-1,-3.780528975E-1,1.649501582E0,1.630304588E0,2.349823932E0
3.135555417E-1,-6.219121957E-1,1.103383919E0,1.070402115E0,1.658309844E0
3.235095417E-1,-7.881730950E-1,5.633815670E-1,3.668572336E-1,1.035953593E0
3.334635417E-1,-7.680113107E-1,1.678688836E-1,1.799334437E-2,7.863492201E-1
3.434175417E-1,-7.322818995E-1,-1.320976648E-1,1.833774537E-1,7.663640544E-1
3.533715417E-1,-8.646862507E-1,-2.629957733E-1,5.960724726E-1,1.082659449E0
3.633255417E-1,-9.779965192E-1,-3.067452255E-1,7.701139694E-1,1.282047328E0
3.732805417E-1,-1.150059611E0,-2.876502657E-1,6.716567981E-1,1.362535371E0
3.832345417E-1,-1.394001355E0,-2.286778799E-1,3.733704472E-1,1.461142991E0
3.931885417E-1,-1.635083810E0,-1.259270981E-1,-6.868431866E-2,1.641363529E0
4.031425417E-1,-1.944740072E0,-1.213422963E-1,-4.309088033E-1,1.995600235E0
4.130965417E-1,-2.640097389E0,-2.632621139E-2,-6.617872828E-1,2.721905528E0
4.230505417E-1,-3.302697435E0,-4.485194474E-2,-8.674838510E-1,3.415018342E0
4.330055417E-1,-3.419245307E0,-1.687611687E-1,-1.017675725E0,3.571467861E0
4.429595417E-1,-3.191821362E0,-7.277298421E-2,-7.357580692E-1,3.276333233E0
4.529135417E-1,-2.965121303E0,1.311200103E-1,-4.075561935E-1,2.995870299E0
4.628675417E-1,-2.825663456E0,1.718949839E-1,-3.165741026E-1,2.848533134E0
4.728215417E-1,-2.575565763E0,2.510750547E-1,8.394964457E-2,2.589136000E0
4.827755417E-1,-2.578632628E0,4.359844789E-1,1.216741258E0,2.884421603E0
4.927295417E-1,-2.301672826E0,2.832487741E-1,1.404920153E0,2.711407071E0
5.026845417E-1,-1.862341694E0,1.683430928E-1,7.657101390E-1,2.020635543E0
5.126385417E-1,-1.527654086E0,9.292395115E-2,3.071349424E-1,1.560991269E0
5.225925417E-1,-1.140987656E0,1.692318696E-1,6.230240437E-1,1.310973384E0
5.325465417E-1,-9.901552194E-1,4.100462303E-1,1.177504394E0,1.592187762E0
5.425005417E-1,-4.846242499E-1,4.145977029E-1,1.572342601E0,1.696765504E0
5.524545417E-1,1.890802431E-1,-1.289620954E-1,2.337370370E0,2.348549086E0
5.624095417E-1,6.462401211E-1,-6.314861342E-1,2.896047560E0,3.033725845E0
5.723635417E-1,7.643497843E-1,-1.034444954E0,2.947173859E0,3.215608918E0
5.823175417E-1,9.138139719E-1,-1.774737832E0,2.845450141E0,3.475821752E0
5.922715417E-1,1.286144199E0,-2.150126153E0,2.311884696E0,3.409108421E0
6.022255417E-1,1.536861697E0,-2.468904656E0,1.479471275E0,3.262862138E0
6.121795417E-1,1.099213977E0,-3.176181230E0,1.042763788E0,3.519055966E0
6.221345417E-1,5.034446830E-1,-3.051753650E0,8.783772138E-1,3.215307671E0
6.320885417E-1,7.145338458E-1,-2.685144339E0,9.939883617E-1,2.951028905E0
6.420425417E-1,1.444257004E0,-2.181231001E0,1.196416044E0,2.876640110E0
6.519965417E-1,2.025834521E0,-1.381717524E0,1.357109517E0,2.802658571E0
6.619505417E-1,3.643219979E0,-1.031808445E-1,1.753637862E0,4.044619123E0
6.719045417E-1,5.331183084E0,1.460491213E0,1.749297181E0,5.797808921E0
6.818595417E-1,5.580207812E0,2.914682344E0,1.567026313E0,6.487654727E0
6.918135417E-1,4.419995096E0,3.549305802E0,1.255988939E0,5.806155056E0
7.017675417E-1,2.251803678E0,2.730813432E0,8.792832398E-1,3.647067427E0
7.117215417E-1,3.499733984E-2,2.060001556E0,-1.820790794E-1,2.068328798E0
7.216755417E-1,-1.768886231E0,1.715513431E0,-1.328481257E0,2.799429813E0
7.316292083E-1,-2.646448635E0,1.097514192E0,-2.012371015E0,3.501123374E0
7.415832083E-1,-2.788689757E0,5.385031262E-1,-2.380626902E0,3.705962847E0
7.515382083E-1,-2.492907768E0,2.819112235E-1,-2.721908122E0,3.701735661E0
7.614922083E-1,-1.905428072E0,4.834700096E-1,-3.075915807E0,3.650432500E0
7.714462083E-1,-9.939208263E-1,9.634632647E-1,-3.049753610E0,3.349199480E0
7.814002083E-1,-1.840007669E-1,8.921354198E-1,-2.336956972E0,2.508212467E0
